Category,Model,AAPL ARR%,AAPL SR,AAPL MDD%,AMZN ARR%,AMZN SR,AMZN MDD%,GOOGL ARR%,GOOGL SR,GOOGL MDD%,MSFT ARR%,MSFT SR,MSFT MDD%,TSLA ARR%,TSLA SR,TSLA MDD%
Market,B&H,13.00,0.60,14.78,42.33,1.08,17.38,22.47,0.71,12.97,22.49,0.84,12.92,37.40,0.72,32.65
ML/DL,LSTM,10.97,0.54,11.95,15.91,0.46,17.41,24.86,0.70,12.98,18.86,0.68,11.75,17.36,0.78,4.44
RL-based,DQN,7.92,0.40,14.88,27.43,1.17,5.27,34.40,1.39,7.15,30.44,1.18,10.56,15.07,0.44,28.12
RL-based,PPO,13.26,0.61,14.78,21.17,0.70,13.84,38.29,1.30,8.45,11.32,0.48,17.51,33.64,0.78,28.35
LLM-based,FinGPT,-5.46,-0.17,16.23,42.93,1.10,18.94,12.28,0.44,13.00,25.10,0.97,9.84,38.43,0.75,31.47
LLM-based,FinMem,23.78,1.11,10.39,40.07,1.03,18.53,31.27,1.11,8.97,40.58,1.50,7.48,50.04,0.92,25.77
LLM-based,FinAgent,31.90,1.43,10.40,65.10,1.61,13.20,56.15,1.78,8.45,44.74,1.79,5.57,92.27,2.01,12.14
Ours,Llama-3.1-8B (ft.),,,,0.24,-1.72,0.63,0.09,-9.42,0.18,4.85,0.28,13.73,1.04,0.00,17.05
Ours,Qwen2.5-7B (ft.),25.43,1.34,15.57,19.03,1.62,22.16,16.11,0.94,13.02,23.26,0.70,25.60,12.85,0.92,15.72
Ours,Qwen2.5-32B (ft.),25.23,1.34,15.57,25.10,0.49,41.41,27.41,0.96,12.87,25.99,0.79,26.65,25.41,0.35,63.55
